NAMA KK,NIK,DOMISILI,PROVINSI,TANGGAL LAHIR,USIA,PEKERJAAN, PENDAPATAN ,JUMLAH ANGGOTA KEL,JML IBU HAMIL,JML BALITA,JML LANSIA,JML ANAK PUTUS SEKOLA,JML ANGGOTA DISABILITAS,KSE,KATEGORI
Timbul Lailasari,3200067453051590,Pontianak,Kalimantan Barat,9/16/1998,26,Tidak Bekerja, Rp-   ,6,0,3,2,0,1,4,menerima bansos
Tgkbalapati Zulaika,3200877894543080,Palu,Sulawesi Tengah,1/12/1994,31,Tidak Bekerja, Rp-   ,5,0,3,2,0,0,3,Tidak menerima bansos
Fitria Suwarno,3200019416155290,Bandung,Jawa Barat,7/18/1994,30,Buruh," Rp500,000 ",5,0,0,2,2,0,3,Tidak menerima bansos
Kamila Prasetya,3200220997567220,Depok,Jawa Barat,11/10/1975,49,Petani," Rp500,000 ",4,1,1,0,0,2,1,Tidak menerima bansos
Rangga Saefulla,3200867945419780,Pontianak,Kalimantan Barat,10/19/1990,34,Buruh," Rp2,000,000 ",6,0,3,1,1,1,4,menerima bansos
Rlatika Widiastuti,3200295234173500,Semarang,Jawa Tengah,4/28/1957,68,Buruh," Rp1,000,000 ",3,0,2,1,0,0,1,Tidak menerima bansos
Sabri Ramawati,3200901312221380,Manokwari,Papua Barat,2/15/1993,32,Buruh," Rp1,500,000 ",4,0,0,1,0,2,1,Tidak menerima bansos
Tgkwisnu Pudjiastuti.,3200451788016290,Gorontalo,Gorontalo,4/24/1978,47,Wiraswasta," Rp1,000,000 ",4,1,1,1,0,0,0,Tidak menerima bansos
Lanang Kusumo,3200542445192850,Balikpapan,Kalimantan Timur,5/23/1961,64,Petani," Rp1,500,000 ",5,0,1,2,2,0,3,Tidak menerima bansos
Zamira Rajata,3200288646192550,Banjarmasin,Kalimantan Selatan,12/6/1965,59,Tidak Bekerja, Rp-   ,5,1,0,0,2,1,3,Tidak menerima bansos
Vino Pangestu,3200589357447990,Pekanbaru,Riau,3/1/1991,34,Tidak Bekerja, Rp-   ,3,1,0,0,2,0,1,Tidak menerima bansos
Martani Farida,3200266586482850,Bengkulu,Kalimantan Timur,3/27/1962,63,Tidak Bekerja, Rp-   ,7,1,3,0,0,2,3,Tidak menerima bansos
Rudi Laksita,3200441534857040,Makassar,Sulawesi Selatan,4/23/1989,36,Wiraswasta," Rp1,500,000 ",4,0,1,0,1,1,2,Tidak menerima bansos
Vicky Simanjuntak,3200414074048480,Sorong,Papua Barat,5/6/1961,64,Buruh," Rp500,000 ",4,0,0,0,1,2,2,Tidak menerima bansos
Mala Zulaika,3200198684945070,Malang,Jawa Timur,5/2/1965,60,Petani," Rp1,000,000 ",7,1,2,1,2,1,4,menerima bansos
Oliva Anggriawan,3200754797345740,Depok,Jawa Barat,8/9/1960,64,Wiraswasta," Rp1,500,000 ",6,1,1,0,2,1,3,Tidak menerima bansos
Bagiya Novitasari,3200789306152720,Pontianak,Kalimantan Barat,7/30/1975,49,Tidak Bekerja, Rp-   ,6,1,3,2,0,0,3,Tidak menerima bansos
Julia Manullang,3200425768918090,Medan,Sumatera Utara,6/28/1975,50,Tidak Bekerja, Rp-   ,6,1,0,2,0,2,3,Tidak menerima bansos
Samia Sinaga.,3200392334921830,Bekasi,Kalimantan Timur,12/19/1991,33,Tidak Bekerja, Rp-   ,3,0,0,0,1,2,2,Tidak menerima bansos
Banara Kurniawan,3200731030255300,Bengkulu,Kalimantan Timur,4/14/1993,32,Buruh," Rp1,000,000 ",7,0,3,2,2,0,4,menerima bansos
Gilda Prastuti,3200912428767820,Balikpapan,Kalimantan Timur,12/14/1987,37,Buruh," Rp1,500,000 ",5,0,2,1,1,1,4,menerima bansos
Nadia Alima,3200331760118450,Padang,Sumatera Barat,10/13/1963,61,Wiraswasta," Rp4,000,000 ",8,1,1,2,2,2,5,menerima bansos
Legawa Nasyida,3200790647915140,Kendari,Sulawesi Tenggara,10/12/1983,41,Karyawan," Rp1,000,000 ",3,0,0,1,0,2,1,Tidak menerima bansos
Aditya Mustofa,3200983079485010,Depok,Jawa Barat,12/19/1974,50,Karyawan," Rp2,000,000 ",4,1,0,2,1,0,2,Tidak menerima bansos
Gading Fujiati,3200455841289880,Jambi,Jambi,5/18/1994,31,Buruh," Rp1,500,000 ",7,1,1,1,2,2,3,Tidak menerima bansos
Ayu Prasetyo,3200761047794050,Malang,Jawa Timur,9/22/1965,59,Tidak Bekerja, Rp-   ,8,0,3,2,2,0,4,menerima bansos
Zara Akim,3200147063897600,Samarinda,Kalimantan Timur,2/12/1964,61,Karyawan," Rp1,500,000 ",5,1,1,2,1,0,3,Tidak menerima bansos
Laras Akim,3200608599911780,Padang,Sumatera Barat,6/6/1998,27,Tidak Bekerja, Rp-   ,5,0,3,0,1,0,3,Tidak menerima bansos
Arsanto Situmorang,3200323820676480,Sorong,Papua Barat,11/3/1994,30,Petani," Rp2,000,000 ",3,0,2,0,1,0,2,Tidak menerima bansos
Puti Elisa Narpati,3200168705171870,Samarinda,Kalimantan Timur,4/22/1995,30,Petani," Rp1,200,000 ",7,1,1,2,1,2,4,menerima bansos
Sakura Yuliarti,3200448961630130,Bengkulu,Kalimantan Timur,4/13/1970,55,Tidak Bekerja, Rp-   ,4,0,0,1,2,1,2,Tidak menerima bansos
Galu Agustina,3200335126594390,Manado,Sulawesi Utara,3/24/1961,64,Karyawan," Rp2,000,000 ",6,0,2,2,0,1,4,menerima bansos
Zulfa Assana,3200104555616740,Medan,Sumatera Utara,10/8/1994,30,Wiraswasta," Rp2,000,000 ",7,0,2,0,2,2,4,menerima bansos
Paiman Wibisono,3200182157993800,Manado,Sulawesi Utara,2/8/1968,57,Wiraswasta," Rp1,000,000 ",5,0,2,0,2,1,4,menerima bansos
Wira Prakasa,3200066777893610,Merauke,Papua Selatan,10/9/1991,33,Buru," Rp500,000 ",6,1,0,1,2,1,3,Tidak menerima bansos
Ratna Farida,3200540878347130,Gorontalo,Gorontalo,4/13/1987,38,Karyawan," Rp3,500,000 ",3,0,1,0,2,0,2,Tidak menerima bansos
Cakrawala Winarno,3200745096107630,Pontianak,Kalimantan Barat,5/4/1959,66,Buru," Rp1,000,000 ",7,0,2,1,1,2,4,menerima bansos
Wisnu Samosir,3200045612692040,Semarang,Jawa Tengah,2/12/1965,60,Karyawan," Rp1,000,000 ",7,0,3,2,0,1,4,menerima bansos
Lalita Irawan,3200835837929520,Samarinda,Kalimantan Timur,7/25/1967,57,Buru," Rp1,500,000 ",6,0,0,2,1,2,4,menerima bansos
Olivia Marbun,3200134159118750,Medan,Sumatera Utara,12/6/1990,34,Tidak Bekerja, Rp-   ,5,1,0,1,2,1,3,Tidak menerima bansos
Lamar Dongoran,3200793380079840,Bogor,Kalimantan Timur,11/30/1958,66,Petani," Rp2,000,000 ",6,1,3,0,0,1,3,Tidak menerima bansos
Amelia Andriani,3200336188571970,Plangkary,Kalimantan Tengah,9/13/1964,60,Wiraswasta," Rp1,000,000 ",6,1,2,0,0,2,3,Tidak menerima bansos
Mulya Agustina,3200510560183900,Merauke,Papua Selatan,3/16/1978,47,Buru," Rp1,500,000 ",5,1,0,0,2,2,3,Tidak menerima bansos
Puti Sadina Budiyanto,3200949374346460,Padang,Sumatera Barat,5/23/1976,49,Buru," Rp1,000,000 ",5,1,1,1,2,0,2,Tidak menerima bansos
Tina Firmansya,3200441765690170,Semarang,Jawa Tengah,6/18/1957,68,Petani," Rp2,000,000 ",6,1,3,0,1,0,3,Tidak menerima bansos
Cut Amalia Pangestu,3200003130018790,Sorong,Papua Barat,4/12/2000,25,Wiraswasta," Rp1,200,000 ",6,1,2,1,0,2,3,Tidak menerima bansos
Cut Kamila Sitorus,3200350779476010,Manokwari,Papua Barat,3/25/1965,60,Buru," Rp1,000,000 ",7,0,2,2,2,0,4,menerima bansos
Padmi Purnawati,3200442919759290,Semarang,Jawa Tengah,11/10/1963,61,Tidak Bekerja, Rp-   ,5,1,1,0,2,0,2,Tidak menerima bansos
Puti Ella Pratiwi,3200241046721390,Palangka Raya,Kalimantan Tengah,5/30/1960,65,Karyawan," Rp1,200,000 ",4,1,0,1,1,1,2,Tidak menerima bansos
Yance Zulaika,3200594820670990,Jayapura,Papua,6/5/1984,41,Tidak Bekerja, Rp-   ,2,0,1,0,0,1,1,Tidak menerima bansos
Elu Lestari,3200381509462120,Yogyakarta,DI Yogyakarta,9/13/1978,46,Karyawan," Rp2,000,000 ",6,1,0,2,2,0,3,Tidak menerima bansos
Tgkprasetya Prabowo,3200756580860640,Bjrmasin,Kalimantan Timur,4/11/1992,33,Buru," Rp1,500,000 ",7,1,2,2,2,0,4,menerima bansos
Kardi Prasasta,3200185170183890,Padang,Sumatera Barat,1/7/1976,49,Wiraswasta," Rp1,500,000 ",10,1,3,2,1,2,5,menerima bansos
Jasmani Sitompul,3200065206629950,Gorontalo,Gorontalo,11/17/1974,50,Tidak Bekerja, Rp-   ,5,0,3,2,0,0,3,Tidak menerima bansos
Marwata Waluyo,3200075774082200,Manokwari,Papua Barat,12/16/1969,55,Petani," Rp500,000 ",4,0,2,1,0,0,1,Tidak menerima bansos
Sadina Siregar,3200167135398650,Bogor,Kalimantan Timur,9/17/1959,65,Petani," Rp5,000,000 ",9,1,3,2,1,2,6,menerima bansos
Wakiman Utagalung,3200000666445580,Samarinda,Kalimantan Timur,3/16/1968,57,Karyawan," Rp3,200,000 ",6,1,3,0,0,2,4,menerima bansos
Artawan Tarioran,3200532301207650,Pekanbaru,Riau,4/19/1968,57,Petani," Rp1,200,000 ",7,1,2,2,2,0,4,menerima bansos
Azalea Yolanda,3200003097189690,Gorontalo,Gorontalo,3/22/1961,64,Buru," Rp2,600,000 ",4,1,0,0,0,2,1,Tidak menerima bansos
Esti Simbolon,3200685682776920,Bekasi,Kalimantan Timur,12/19/1983,41,Karyawan," Rp1,000,000 ",4,1,1,0,0,1,1,Tidak menerima bansos
Setya Idayanto,3200285487350680,Malang,Jawa Timur,4/4/1991,34,Petani," Rp1,000,000 ",7,1,3,1,0,1,3,Tidak menerima bansos
Titi Kurniawan,3200030544161120,Semarang,Jawa Tengah,2/2/1967,58,Karyawan," Rp1,000,000 ",4,0,1,1,0,1,1,Tidak menerima bansos
Maya Budiyanto,3200284780467730,Palembang,Sumatera Selatan,4/29/1983,42,Petani," Rp500,000 ",7,1,2,1,2,0,3,Tidak menerima bansos
Jane Jailani,3200766730459350,Bekasi,Kalimantan Timur,7/25/1962,62,Karyawan," Rp1,500,000 ",4,0,1,2,0,0,1,Tidak menerima bansos
Endra Mansur,3200895101120610,Bpp,Kalimantan Timur,5/5/1964,61,Tidak Bekerja, Rp-   ,6,1,2,0,2,1,4,menerima bansos
Mana Siregar,3200577996793230,Palangkaraya,Kalimantan Tengah,5/4/1972,53,Wiraswasta," Rp2,000,000 ",5,1,1,2,0,1,3,Tidak menerima bansos
Rcaraka Tamrin,3200756769904960,Surabaya,Jawa Timur,9/11/1999,25,Karyawan," Rp2,000,000 ",6,1,1,1,1,1,3,Tidak menerima bansos
Purwanto Waskita,3200502895226480,Surabaya,Jawa Timur,10/10/1998,26,Tidak Bekerja, Rp-   ,5,1,0,1,2,1,3,Tidak menerima bansos
Agus Siregar,3200675397707610,Kendari,Sulawesi Tenggara,7/27/1974,50,Wiraswasta," Rp1,500,000 ",4,0,2,0,0,2,2,Tidak menerima bansos
Almira Artati,3200094482350270,Yogyakarta,DI Yogyakarta,9/9/1966,58,Petani," Rp1,000,000 ",6,1,2,1,0,2,3,Tidak menerima bansos
Nilam Suartini,3200657425511080,Makassar,Sulawesi Selatan,8/13/1965,59,Petani," Rp1,000,000 ",3,0,1,0,2,0,1,Tidak menerima bansos
Marsudi Kuswandari,3200621382435890,Bekasi,Kalimantan Timur,1/19/1989,36,Tidak Bekerja, Rp-   ,8,0,2,2,2,2,5,menerima bansos
Luwar Gunarto,3200733358814690,Pontianak,Kalimantan Barat,10/15/1987,37,Petani," Rp1,000,000 ",7,0,2,2,1,2,5,menerima bansos
Maria Nasyida,3200327092123380,Yogyakarta,DI Yogyakarta,2/14/2000,25,Petani," Rp2,100,000 ",4,1,0,2,1,0,2,Tidak menerima bansos
Gasti Prakasa,3200595327540620,Manokwari,Papua Barat,3/18/1984,41,Tidak Bekerja, Rp-   ,5,0,2,2,0,1,4,menerima bansos
Krosman Wijaya,3200065053784190,Manado,Sulawesi Utara,8/23/1987,37,Karyawan," Rp500,000 ",6,1,2,0,2,0,3,Tidak menerima bansos
Okto Uyaina,3200927543452010,Pontianak,Kalimantan Barat,4/20/1988,37,Wiraswasta," Rp500,000 ",9,1,3,2,0,2,4,menerima bansos
Jabal Manullang,3200482302477460,Semarang,Jawa Tengah,3/29/1971,54,Petani," Rp500,000 ",8,1,2,2,2,0,4,menerima bansos
Talia Maulana,3200452616475420,Bekasi,Kalimantan Timur,1/14/1957,68,Karyawan," Rp2,000,000 ",9,1,1,2,2,2,4,menerima bansos
Bagas Usada,3200374556753470,Pontianak,Kalimantan Barat,4/28/1966,59,Tidak Bekerja, Rp-   ,4,1,1,2,0,0,1,Tidak menerima bansos
Eka Prakasa,3200215666068270,Makassar,Sulawesi Selatan,12/28/1981,43,Wiraswasta," Rp500,000 ",4,1,0,1,1,0,1,Tidak menerima bansos
Garda Prasetyo,3200158750624660,Palangka Raya,Kalimantan Tengah,2/25/1978,47,Tidak Bekerja, Rp-   ,5,1,2,0,0,2,3,Tidak menerima bansos
Qori Sirait,3200308276424320,Banjarmasin,Kalimantan Selatan,4/27/1977,48,Petani," Rp500,000 ",6,1,2,2,0,0,3,Tidak menerima bansos
Tirta Prasetyo,3200101517522120,Semarang,Jawa Tengah,8/25/1977,47,Karyawan," Rp1,500,000 ",4,0,2,1,0,1,2,Tidak menerima bansos
Wawan Budiman,3200861866063890,Kendari,Sulawesi Tenggara,3/19/1986,39,Karyawan," Rp500,000 ",6,0,1,2,0,2,3,Tidak menerima bansos
Ajiono Namaga,3200361833602060,Padang,Sumatera Barat,11/6/1997,27,Petani," Rp500,000 ",7,1,1,2,1,1,4,menerima bansos
Aisya Marpaung,3200545766455620,Merauke,Papua Selatan,11/3/1974,50,Buru," Rp500,000 ",5,0,1,2,2,0,3,Tidak menerima bansos
Damu Ramawati,3200945152794080,Bogor,Kalimantan Timur,3/26/1957,68,Buru," Rp2,800,000 ",6,1,3,1,1,0,3,Tidak menerima bansos
Azalea Winarno,3200448636857580,Semarang,Jawa Tengah,12/7/1957,67,Petani," Rp1,500,000 ",7,1,1,1,2,1,3,Tidak menerima bansos
Puji Namaga,3200174363499330,Pekanbaru,Riau,4/17/1995,30,Wiraswasta," Rp2,000,000 ",4,0,3,0,0,1,2,Tidak menerima bansos
Purwa Waskita,3200174173760930,Bppn,Kalimantan Timur,10/9/1987,37,Buru," Rp500,000 ",2,1,0,0,0,0,0,Tidak menerima bansos
Titi Mardiya,3200461320656000,Palangka Raya,Kalimantan Tengah,8/14/1974,50,Petani," Rp2,000,000 ",7,1,3,2,0,1,4,menerima bansos
Jarwadi Usama,3200080519196340,Bandung,Jawa Barat,10/8/1971,53,Petani," Rp1,500,000 ",5,1,0,2,1,1,4,menerima bansos
Ica Iswayudi,3200091094135720,Medan,Sumatera Utara,2/19/1970,55,Buru," Rp1,000,000 ",6,1,1,1,2,1,3,Tidak menerima bansos
Victoria Winarsi,3200482962223970,Palembang,Sumatera Selatan,8/21/1985,39,Wiraswasta," Rp500,000 ",5,0,2,0,0,2,3,Tidak menerima bansos
Jaiman Kuswandari,3200707662018490,Jambi,Jambi,2/13/1966,59,Petani," Rp2,000,000 ",3,0,0,0,2,0,1,Tidak menerima bansos
Tania Puspita,3200533968407600,Merauke,Papua Selatan,3/30/1973,52,Tidak Bekerja, Rp-   ,5,0,3,1,0,0,2,Tidak menerima bansos
Wisnu Firmansya,3200472317309060,Lampung,Lampung,10/13/1984,40,Karyawan," Rp1,200,000 ",8,0,3,2,1,1,5,menerima bansos
Zalindra Kuswoyo,3200964566343960,Yogyakarta,DI Yogyakarta,11/29/1982,42,Karyawan," Rp4,200,000 ",9,0,3,2,2,1,6,menerima bansos
Airyanto Siregar,3200544871317150,Semarang,Jawa Tengah,1/1/1977,48,Karyawan," Rp3,300,000 ",2,1,0,0,0,0,1,Tidak menerima bansos
Dimaz Narpati,3200546949855990,Bengkulu,Kalimantan Timur,4/1/1999,26,Petani," Rp439,000 ",3,0,1,1,0,0,0,Tidak menerima bansos
Najwa Saefulla,3200448831520540,Malang,Jawa Timur,3/2/1955,70,Petani," Rp1,500,000 ",5,1,0,0,2,1,3,Tidak menerima bansos
Alika Marpaung,3200091489579720,Samarinda,Kalimantan Timur,11/4/1958,66,Wiraswasta," Rp500,000 ",6,0,3,0,0,2,3,Tidak menerima bansos
Jarwa Aryanto,3200470128163000,Bekasi,Kalimantan Timur,2/8/1963,62,Karyawan," Rp1,000,000 ",5,0,3,0,0,2,3,Tidak menerima bansos
Rkariman Alima,3200277727505030,Kendari,Sulawesi Tenggara,7/2/1993,32,Tidak Bekerja, Rp-   ,4,0,0,2,0,1,2,Tidak menerima bansos
Treksa Wulandari,3200284987187260,Semarang,Jawa Tengah,7/13/1973,51,Tidak Bekerja, Rp-   ,5,0,2,0,1,1,4,menerima bansos
Umi Suryono,3200186571417150,Pontianak,Kalimantan Barat,5/1/1972,53,Petani," Rp1,500,000 ",4,0,1,1,1,1,2,Tidak menerima bansos
Talia Tamba,3200917615656190,Jayapura,Papua,11/8/1966,58,Karyawan," Rp2,000,000 ",3,0,0,1,0,1,1,Tidak menerima bansos
Enteng Saragi,3200962714087690,Manado,Sulawesi Utara,12/16/1986,38,Buru," Rp1,500,000 ",2,0,0,0,1,0,1,Tidak menerima bansos
Janet Lailasari,3200880842369690,Pekanbaru,Riau,7/14/1978,46,Wiraswasta," Rp500,000 ",5,0,1,1,1,1,3,Tidak menerima bansos
Sutan Bakiono Dongoran,3200082851413170,Makassar,Sulawesi Selatan,1/23/1959,66,Karyawan," Rp1,500,000 ",7,0,2,2,2,1,5,menerima bansos
Tantri Saefulla,3200493144256510,Pontianak,Kalimantan Barat,11/10/1987,37,Karyawan," Rp2,000,000 ",1,1,0,0,0,0,0,Tidak menerima bansos
Setya Kuswandari,3200888309185590,Lampung,Lampung,4/2/1995,30,Karyawan," Rp1,500,000 ",6,0,1,0,2,2,3,Tidak menerima bansos
Karma Padmasari,3200826613866870,Medan,Sumatera Utara,5/18/1960,65,Wiraswasta," Rp1,500,000 ",6,0,2,0,1,2,4,menerima bansos
Lukita Situmorang,3200282491026930,Palangkaraya,Kalimantan Tengah,3/30/1995,30,Petani," Rp500,000 ",3,0,0,2,0,0,1,Tidak menerima bansos
Edi Wacana,3200496410429200,Medan,Sumatera Utara,6/4/1979,46,Tidak Bekerja, Rp-   ,6,1,3,0,0,1,3,Tidak menerima bansos
Silvia Megantara,3200296986519790,Palembang,Sumatera Selatan,8/5/1978,46,Petani," Rp2,000,000 ",6,1,1,0,2,1,3,Tidak menerima bansos
Maimuna Wulandari,3200175604178240,Padang,Sumatera Barat,8/30/1995,29,Tidak Bekerja, Rp-   ,3,1,0,0,1,0,1,Tidak menerima bansos
Banawi Maulana,3200831442045250,Manokwari,Papua Barat,6/12/1978,47,Buru," Rp2,000,000 ",4,1,2,0,0,1,2,Tidak menerima bansos
Cager Winarno,3200969698106590,Depok,Jawa Barat,6/9/1987,38,Wiraswasta," Rp1,500,000 ",7,0,2,2,2,0,4,menerima bansos
Opung Andriani,3200476469903640,Semarang,Jawa Tengah,1/3/1993,32,Petani," Rp500,000 ",6,0,2,2,2,0,4,menerima bansos
Gaiman Oktaviani,3200229359001850,Lampung,Lampung,11/15/1991,33,Karyawan," Rp1,500,000 ",5,1,1,1,1,1,3,Tidak menerima bansos
Kempluk Siombing,3200034030599400,Bengkulu,Kalimantan Timur,9/11/1959,65,Karyawan," Rp2,000,000 ",4,1,2,0,1,0,2,Tidak menerima bansos
Martana Dabukke,3200482194295000,Merauke,Papua Selatan,9/26/1977,47,Buru," Rp1,000,000 ",5,1,0,2,2,0,3,Tidak menerima bansos
Daru Nasiruddin,3200596316329490,Bengkulu,Kalimantan Timur,3/12/1963,62,Buru," Rp2,000,000 ",5,0,3,0,1,1,4,menerima bansos
Wira Nugroo,3200076636911440,Semarang,Jawa Tengah,1/24/1980,45,Karyawan," Rp500,000 ",7,0,2,2,2,0,4,menerima bansos
Gabriella Astuti,3200682637782110,Yogyakarta,DI Yogyakarta,3/17/1977,48,Tidak Bekerja, Rp-   ,11,1,3,2,2,2,5,menerima bansos
Gali Megantara,3200196527068630,Merauke,Papua Selatan,12/27/1980,44,Buru," Rp1,000,000 ",9,1,3,1,2,1,4,menerima bansos
Janet Zulkarnain,3200096303331090,Bengkulu,Kalimantan Timur,12/30/1980,44,Petani," Rp1,500,000 ",8,1,0,2,2,2,4,menerima bansos
Jarwi Wastuti,3200554705705240,Bekasi,Kalimantan Timur,6/24/1959,66,Wiraswasta," Rp1,500,000 ",2,0,0,0,2,0,1,Tidak menerima bansos
Genta Aryani,3200189360262380,Palangka Raya,Kalimantan Tengah,7/6/1990,34,Wiraswasta," Rp1,500,000 ",6,1,0,2,1,2,4,menerima bansos
Puti Tina Puspita,3200924653729460,Pekanbaru,Riau,4/19/1964,61,Karyawan," Rp500,000 ",5,0,2,1,1,0,3,Tidak menerima bansos
Restu Nuraini,3200007907086800,Palangka raya,Kalimantan Tengah,7/27/1996,28,Karyawan," Rp2,000,000 ",5,0,2,0,0,2,3,Tidak menerima bansos
Cayadi Winarsi,3200555102721760,Balikppn,Kalimantan Timur,3/9/1969,56,Karyawan," Rp500,000 ",8,0,2,2,1,2,5,menerima bansos
Lukman Permata,3200570081745620,Merauke,Papua Selatan,9/3/2000,24,Petani," Rp1,200,000 ",6,0,3,1,0,1,3,Tidak menerima bansos
Zulfa Firmansya,3200899272062570,Malang,Jawa Timur,6/7/1980,45,Wiraswasta," Rp1,500,000 ",6,1,0,1,2,2,3,Tidak menerima bansos
Lidya Maryadi,3200871869141570,Sorong,Papua Barat,7/6/1970,54,Buru," Rp1,000,000 ",7,0,3,2,1,1,5,menerima bansos
Dariati Maendra,3200931098865070,Samarinda,Kalimantan Timur,12/6/1987,37,Karyawan," Rp1,500,000 ",5,0,3,0,0,2,3,Tidak menerima bansos
Ilda Waluyo,3200221095443710,Lampung,Lampung,5/19/1984,41,Wiraswasta," Rp2,000,000 ",3,0,2,0,0,0,1,Tidak menerima bansos
